T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
15,-0.1,0,359956,0.295673,0.292846,0.9654,148624,1344127,88.9427,-0.067447
15,-0.1,0,359965,0.015906,0.015906,0.0,559411,2178742,74.3241,-0.111232
15,-0.1,0,359975,0.020755,0.020519,1.1502,195755,865797,77.3902,-0.089219
15,-0.1,0,359980,0.067476,0.067476,0.0,1224945,3195868,61.671,-0.148479
15,-0.1,1,168757,0.486913,0.48316,0.7768,128062,1089280,88.2434,0.143299
15,-0.1,1,168911,0.401516,0.395381,1.5517,274359,1078823,74.5687,0.004244
15,-0.1,1,359958,0.177909,0.174458,1.9781,130738,1203058,89.1329,0.010507
15,-0.1,1,359971,0.093218,0.074054,25.8784,659022,2192970,69.9484,-0.001584
15,-0.1,1,359979,0.16251,0.152303,6.7018,174983,2219443,92.1159,0.02222
15,-0.1,1,359982,0.192176,0.191489,0.3588,184206,2257560,91.8405,0.019891
15,-0.1,1,359983,0.272901,0.272251,0.2388,210832,2765344,92.3759,-0.023943
15,-0.1,2,190137,0.141292,0.141292,0.0,156413,967127,83.827,0.019922
15,-0.1,2,190410,0.442706,0.43374,2.0671,199509,2133582,90.6491,0.049248
15,-0.1,2,190411,0.293145,0.293145,0.0,363524,1588070,77.1091,0.013694
15,-0.1,2,359962,0.33539,0.318707,5.2347,112808,823005,86.2932,0.056739
15,-0.1,2,359968,0.143561,0.141681,1.3269,349838,1567975,77.6885,-0.031589
15,-0.1,2,359972,0.130461,0.130461,0.0,786619,2115802,62.8217,-0.099048
15,0.0,0,146820,0.038271,0.038271,0.0,353650,1740856,79.6853,-0.092002
15,0.0,0,168350,0.235516,0.23352,0.8547,187609,1704624,88.9941,-0.05208
15,0.0,0,190392,0.369185,0.331513,11.3637,292188,2030996,85.6136,0.019362
15,0.0,0,359956,0.295673,0.292846,0.9654,333061,1344127,75.221,-0.067447
15,0.0,0,359965,0.015906,0.015906,0.0,579704,2178742,73.3927,-0.111232
15,0.0,0,359975,0.020755,0.020519,1.1502,254310,865797,70.6271,-0.089219
15,0.0,0,359980,0.067476,0.067476,0.0,1245580,3195868,61.0253,-0.148479
15,0.0,1,168757,0.486913,0.48316,0.7768,239252,1089280,78.0358,0.143299
15,0.0,1,168911,0.399125,0.395381,0.9469,402232,1078823,62.7157,0.004244
15,0.0,1,359958,0.177909,0.174458,1.9781,130738,1203058,89.1329,0.010507
15,0.0,1,359971,0.074054,0.074054,0.0,823766,2192970,62.4361,-0.001584
