T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
20,-0.2,1,359983,0.272901,0.271175,0.6365,166877,1355440,87.6884,-0.026444
20,-0.2,2,190137,0.143959,0.140074,2.7735,83798,494909,83.068,0.027413
20,-0.2,2,190410,0.442706,0.425278,4.098,138209,545157,74.6479,0.096177
20,-0.2,2,190411,0.29337,0.290798,0.8845,121366,1027795,88.1916,0.022963
20,-0.2,2,359962,0.33539,0.307655,9.015,76685,200627,61.7773,0.036846
20,-0.2,2,359968,0.142702,0.140843,1.3199,138730,817466,83.0293,-0.027531
20,-0.2,2,359972,0.126079,0.126079,0.0,301430,416740,27.6695,-0.065523
20,-0.1,0,146820,0.038377,0.037995,1.0054,174307,1238041,85.9207,-0.038656
20,-0.1,0,168350,0.227085,0.225671,0.6266,192134,630490,69.5262,-0.032105
20,-0.1,0,190392,0.350674,0.3172,10.553,138453,713336,80.5908,0.033273
20,-0.1,0,359956,0.285494,0.285494,0.0,234468,441169,46.853,-0.031719
20,-0.1,0,359965,0.016131,0.016131,0.0,821033,849323,3.3309,-0.161786
20,-0.1,0,359975,0.02033,0.02033,0.0,170076,288321,41.0116,0.042456
20,-0.1,0,359980,0.066671,0.066671,-0.0,1409266,1577750,10.6788,-0.092461
20,-0.1,1,168757,0.486913,0.479304,1.5875,92057,301348,69.4516,0.086052
20,-0.1,1,168911,0.401516,0.392326,2.3424,89677,467507,80.818,-0.014692
20,-0.1,1,359958,0.177909,0.170866,4.1219,94680,385832,75.4608,0.031337
20,-0.1,1,359971,0.063574,0.062183,2.2369,282678,786481,64.0579,0.040591
20,-0.1,1,359979,0.16251,0.149956,8.3718,138711,1203291,88.4724,0.029808
20,-0.1,1,359982,0.192176,0.1906,0.8269,148298,901464,83.5492,0.030078
20,-0.1,1,359983,0.271274,0.271175,0.0365,203239,1355440,85.0057,-0.026444
20,-0.1,2,190137,0.143479,0.140074,2.4309,87672,494909,82.2852,0.027413
20,-0.1,2,190410,0.442706,0.425278,4.098,138209,545157,74.6479,0.096177
20,-0.1,2,190411,0.291179,0.290798,0.131,190536,1027795,81.4617,0.022963
20,-0.1,2,359962,0.33539,0.307655,9.015,76685,200627,61.7773,0.036846
20,-0.1,2,359968,0.140843,0.140843,0.0,180664,817466,77.8995,-0.027531
20,-0.1,2,359972,0.126079,0.126079,0.0,309158,416740,25.8151,-0.065523
20,0.0,0,146820,0.0382,0.037995,0.5395,230070,1238041,81.4166,-0.038656
20,0.0,0,168350,0.227085,0.225671,0.6266,246700,630490,60.8717,-0.032105
20,0.0,0,190392,0.332353,0.3172,4.7771,140838,713336,80.2564,0.033273
20,0.0,0,359956,0.285494,0.285494,0.0,365148,441169,17.2317,-0.031719
20,0.0,0,359965,0.016131,0.016131,0.0,821033,849323,3.3309,-0.161786
20,0.0,0,359975,0.02033,0.02033,0.0,180394,288321,37.4329,0.042456
20,0.0,0,359980,0.066671,0.066671,-0.0,1433084,1577750,9.1691,-0.092461
20,0.0,1,168757,0.483027,0.479304,0.7768,107549,301348,64.3107,0.086052
20,0.0,1,168911,0.393045,0.392326,0.1833,205109,467507,56.1271,-0.014692
20,0.0,1,359958,0.177909,0.170866,4.1219,94680,385832,75.4608,0.031337
20,0.0,1,359971,0.062609,0.062183,0.6851,641076,786481,18.488,0.040591
20,0.0,1,359979,0.16251,0.149956,8.3718,138711,1203291,88.4724,0.029808
20,0.0,1,359982,0.190976,0.1906,0.1973,280510,901464,68.8828,0.030078
20,0.0,1,359983,0.271175,0.271175,0.0,1055398,1355440,22.1361,-0.026444
20,0.0,2,190137,0.141034,0.140074,0.6854,115209,494909,76.7212,0.027413
20,0.0,2,190410,0.442706,0.425278,4.098,141242,545157,74.0915,0.096177
20,0.0,2,190411,0.290814,0.290798,0.0055,417809,1027795,59.349,0.022963
20,0.0,2,359962,0.32717,0.307655,6.3431,96846,200627,51.7283,0.036846
20,0.0,2,359968,0.140843,0.140843,0.0,218713,817466,73.245,-0.027531
20,0.0,2,359972,0.126079,0.126079,0.0,321908,416740,22.7557,-0.065523
20,0.1,0,146820,0.038046,0.037995,0.1342,294015,1238041,76.2516,-0.038656
20,0.1,0,168350,0.225816,0.225671,0.0643,390532,630490,38.059,-0.032105
20,0.1,0,190392,0.323967,0.3172,2.1334,173486,713336,75.6796,0.033273
20,0.1,0,359956,0.285494,0.285494,0.0,421250,441169,4.515,-0.031719
20,0.1,0,359965,0.016131,0.016131,0.0,825099,849323,2.8522,-0.161786
20,0.1,0,359975,0.02033,0.02033,0.0,190740,288321,33.8446,0.042456
20,0.1,0,359980,0.066671,0.066671,-0.0,1433084,1577750,9.1691,-0.092461
20,0.1,1,168757,0.479304,0.479304,0.0,301348,301348,0.0,0.086052
20,0.1,1,168911,0.392326,0.392326,0.0,430200,467507,7.98,-0.014692
20,0.1,1,359958,0.172153,0.170866,0.7532,141825,385832,63.2418,0.031337
20,0.1,1,359971,0.062183,0.062183,0.0,738405,786481,6.1128,0.040591
20,0.1,1,359979,0.153789,0.149956,2.5561,141782,1203291,88.2171,0.029808
20,0.1,1,359982,0.1906,0.1906,0.0,879850,901464,2.3977,0.030078
20,0.1,1,359983,0.271175,0.271175,0.0,1355440,1355440,0.0,-0.026444
20,0.1,2,190137,0.140074,0.140074,0.0,350044,494909,29.271,0.027413
20,0.1,2,190410,0.439612,0.425278,3.3705,212764,545157,60.972,0.096177
20,0.1,2,190411,0.290798,0.290798,0.0,663006,1027795,35.4924,0.022963
20,0.1,2,359962,0.307655,0.307655,0.0,153697,200627,23.3917,0.036846
